,City,Latitude,Longitude,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country Code,Date
24,Punta Arenas,-53.15,-70.9167,53.71,71,75,17.27,CL,1632235976
25,Khatanga,71.9667,102.5,31.1,95,100,9.17,RU,1632235976
26,Bakchar,57.0186,82.0711,34.2,93,100,8.14,RU,1632235977
27,Arraial do Cabo,-22.9661,-42.0278,87.76,62,0,4.61,BR,1632235819
28,Mataura,-46.1927,168.8643,44.47,98,40,2.82,NZ,1632235977
29,Ilulissat,69.2167,-51.1,27.3,87,97,1.83,GL,1632235978
30,Atuona,-9.8,-139.0333,77.02,77,9,18.72,PF,1632235978
31,Ambilobe,-13.2,49.05,78.04,61,0,4.7,MG,1632235979
32,Putina,-15.4667,-69.4333,50.18,47,100,2.21,PE,1632235979
33,Albany,42.6001,-73.9662,69.62,74,100,1.01,US,1632235962
34,La Ronge,55.1001,-105.2842,43.05,87,20,1.14,CA,1632235980
35,Lüderitz,-26.6481,15.1594,72.03,41,3,15.61,NA,1632235980
36,Port Elizabeth,-33.918,25.5701,63.1,63,0,12.66,ZA,1632235981
37,North Platte,41.1239,-100.7654,56.25,73,51,5.01,US,1632235981
38,Longyearbyen,78.2186,15.6401,42.64,93,75,3.44,SJ,1632235982
39,Port Alfred,-33.5906,26.891,61.72,61,98,9.86,ZA,1632235982
40,Saint-Philippe,-21.3585,55.7679,72.99,71,41,10.27,RE,1632235982
41,Buala,-8.145,159.5921,79.12,85,72,5.66,SB,1632235983
42,Morros,-9.4467,-46.3003,99.16,14,45,7.61,BR,1632235983
43,Altay,47.8667,88.1167,41.94,38,85,4.83,CN,1632235984
44,Bud,39.447,-86.1758,72.93,91,91,10.22,US,1632235984
45,Puerto Ayora,-0.7393,-90.3518,73.36,81,88,7.0,EC,1632235984
46,Butaritari,3.0707,172.7902,82.54,71,100,17.31,KI,1632235985
47,Bengkulu,-3.8004,102.2655,76.41,90,96,4.52,ID,1632235985
48,Hasaki,35.7333,140.8333,70.2,86,72,2.44,JP,1632235986
49,Hithadhoo,-0.6,73.0833,84.06,74,73,16.22,MV,1632235986
50,Bethel,41.3712,-73.414,70.93,77,26,6.33,US,1632235987
51,Kambia,9.1167,-12.9167,88.34,63,78,3.47,SL,1632235987
52,Cape Town,-33.9258,18.4232,66.61,52,0,17.27,ZA,1632235696
53,Fare,-16.7,-151.0167,78.12,72,0,9.08,PF,1632235989
54,Ulcinj,41.9294,19.2244,79.02,65,8,9.64,ME,1632235910
55,Upernavik,72.7868,-56.1549,23.32,54,13,5.64,GL,1632235989
56,Nikolskoye,59.7035,30.7861,48.09,65,100,7.61,RU,1632235991
57,Bunia,1.5667,30.25,71.71,83,4,7.16,CD,1632235991
58,Busselton,-33.65,115.3333,55.09,69,0,4.85,AU,1632235992
59,Gijang,35.2442,129.2139,73.13,92,9,8.43,KR,1632235992
60,Atbasar,51.8,68.3333,38.62,59,33,2.98,KZ,1632235993
61,Leningradskiy,69.3833,178.4167,22.93,90,100,13.2,RU,1632235993
62,Doha,25.2867,51.5333,98.58,25,0,11.5,QA,1632235994
63,Belmonte,-15.8631,-38.8828,84.7,66,41,11.81,BR,1632235994
64,Aklavik,68.2191,-135.0107,36.43,97,100,15.23,CA,1632235995
65,Eustis,28.8528,-81.6853,87.15,77,100,2.55,US,1632235995
66,Dingle,10.9995,122.6711,76.23,89,100,2.91,PH,1632235996
67,Mareeba,-17.0,145.4333,66.43,78,68,4.18,AU,1632235996
68,Pangnirtung,66.1451,-65.7125,37.4,52,75,16.11,CA,1632235996
69,East London,-33.0153,27.9116,63.54,55,0,12.66,ZA,1632235997
70,Yangjiang,21.85,111.9667,80.92,86,93,4.05,CN,1632235997
71,Avarua,-21.2078,-159.775,73.45,88,75,4.61,CK,1632235998
72,Porto-Novo,6.4965,2.6036,82.22,68,71,11.54,BJ,1632235998
73,Meulaboh,4.1363,96.1285,78.03,82,100,1.68,ID,1632235998
74,Ushuaia,-54.8,-68.3,51.42,81,75,0.0,AR,1632235999
75,Wenling,28.3669,121.36,74.97,90,0,3.89,CN,1632235999
76,Atambua,-9.1061,124.8925,73.13,84,100,5.75,ID,1632236000
77,Jamestown,42.097,-79.2353,67.51,75,75,8.01,US,1632236001
78,Bytów,54.1706,17.4919,54.7,74,100,3.85,PL,1632236001
79,Lompoc,34.6391,-120.4579,57.51,87,1,0.0,US,1632236001
80,Thompson,55.7435,-97.8558,37.56,93,90,3.44,CA,1632235772
81,Mogadishu,2.0371,45.3438,82.27,83,20,14.97,SO,1632236002
82,Frolovo,49.7713,43.6622,56.82,84,100,8.68,RU,1632236002
83,Tegul'det,57.3064,88.1667,33.04,94,100,7.85,RU,1632236003
84,Qom,34.6401,50.8764,88.79,12,0,4.97,IR,1632235986
85,Koungou,-12.7336,45.2042,80.31,74,75,9.22,YT,1632236004
86,Bredasdorp,-34.5322,20.0403,65.28,45,40,9.22,ZA,1632236004
87,Buluang,13.3068,123.3425,77.54,92,98,3.15,PH,1632236004
88,Finale Ligure,44.1695,8.3436,83.26,55,2,6.71,IT,1632236005
89,Hirara,24.8,125.2833,83.7,74,2,6.87,JP,1632236005
90,Port Hawkesbury,45.6169,-61.3485,70.59,63,1,1.99,CA,1632236006
91,Castro,-24.7911,-50.0119,88.59,27,2,7.14,BR,1632235983
92,Bihać,44.8169,15.8708,62.13,54,42,5.97,BA,1632236006
93,Tura,25.5198,90.2201,72.97,87,100,3.53,IN,1632236007
94,Bluff,-46.6,168.3333,44.8,78,45,15.77,NZ,1632236007
95,Whitianga,-36.8333,175.7,57.02,92,100,3.58,NZ,1632236008
96,Ribeira Grande,38.5167,-28.7,73.8,78,40,17.27,PT,1632236008
97,Pierre,44.3683,-100.351,57.06,75,21,5.01,US,1632236009
98,Walvis Bay,-22.9575,14.5053,65.35,59,0,8.05,NA,1632236009
99,Berlevåg,70.8578,29.0864,44.55,53,0,29.93,NO,1632236009
100,Omsukchan,62.5333,155.8,35.53,97,100,7.92,RU,1632236010
101,Bereket,39.2446,55.5154,82.0,17,13,10.85,TM,1632236011
102,Carnarvon,-24.8667,113.6333,68.07,60,0,10.36,AU,1632236011
103,Vancouver,49.2497,-123.1193,54.28,91,20,1.01,CA,1632235333
104,Vestmannaeyjar,63.4427,-20.2734,47.39,87,75,55.23,IS,1632236012
105,Tilichiki,60.4667,166.1,45.16,87,100,6.44,RU,1632236012
106,Tula,54.2044,37.6111,46.26,97,100,4.92,RU,1632235802
107,Tasiilaq,65.6145,-37.6368,30.9,60,100,4.79,GL,1632236013
108,San Andrés,12.5847,-81.7006,86.02,74,75,9.22,CO,1632236013
109,Kimbe,-5.5502,150.1429,74.64,92,100,4.23,PG,1632236014
110,Avera,33.194,-82.5271,76.95,90,100,4.41,US,1632236015
111,Saint Paul Harbor,57.79,-152.4072,40.75,53,0,21.59,US,1632235730
112,Melilla,35.2937,-2.9383,80.8,83,75,10.36,ES,1632236016
113,Mar del Plata,-38.0023,-57.5575,54.32,56,0,8.16,AR,1632235998
114,Phalaborwa,-23.943,31.1411,61.88,68,100,16.46,ZA,1632236017
115,George Town,5.4112,100.3354,82.35,83,20,4.61,MY,1632235686
116,Ponta Delgada,37.7333,-25.6667,72.32,68,40,12.66,PT,1632236017
117,Arman',59.7,150.1667,41.02,81,100,12.01,RU,1632236018
118,Amapá,1.0,-52.0,93.31,41,61,4.38,BR,1632236018
119,Mikhaylovka,50.06,43.2379,56.03,80,85,7.49,RU,1632236018
120,Lebu,-37.6167,-73.65,55.85,56,0,5.7,CL,1632236019
121,Port Lincoln,-34.7333,135.8667,53.24,81,98,6.24,AU,1632236019
122,Palestine,31.9216,35.2033,80.94,60,0,15.77,PS,1632235883
123,Deputatsky,69.3,139.9,27.18,73,100,2.53,RU,1632236020
124,Semey,50.4111,80.2275,44.82,65,40,4.47,KZ,1632236020
125,Domoni,-12.2569,44.5319,77.88,74,80,2.15,KM,1632236021
126,Dostpur,26.2833,82.4667,81.61,79,10,4.99,IN,1632236021
127,Ponta do Sol,32.6667,-17.1,77.72,79,82,1.74,PT,1632236022
128,Camacha,33.0833,-16.3333,74.16,57,40,16.11,PT,1632236022
129,Nouadhibou,20.931,-17.0347,82.38,57,3,13.8,MR,1632236022
130,Surskoye,54.4821,46.7214,46.51,67,100,12.97,RU,1632236023
131,Yadgir,16.7667,77.1333,78.46,80,88,2.3,IN,1632236023
132,Okha,53.5739,142.9478,44.67,72,29,5.91,RU,1632236024
133,Charters Towers,-20.1,146.2667,58.93,18,2,22.35,AU,1632236024
134,Gawler,-34.6,138.7333,53.24,93,60,0.51,AU,1632236025
135,Östersund,63.1792,14.6357,46.85,93,40,4.61,SE,1632236025
136,Biak,-0.9131,122.8766,71.51,87,100,4.97,ID,1632236025
137,Los Llanos de Aridane,28.6585,-17.9182,73.15,74,75,12.66,ES,1632236026
138,Saskylakh,71.9167,114.0833,33.66,91,100,6.33,RU,1632236026
139,Muros,42.7762,-9.0603,78.24,52,2,12.73,ES,1632236027
140,Paamiut,61.994,-49.6678,33.82,49,100,6.04,GL,1632236027
141,Bayevo,53.2833,80.7667,41.31,74,99,8.93,RU,1632236027
142,Grootfontein,-19.5667,18.1167,92.77,16,20,3.44,NA,1632236028
143,Qaanaaq,77.484,-69.3632,13.37,71,78,9.93,GL,1632236028
144,Stranda,62.3096,6.9358,57.6,79,100,6.62,NO,1632236029
145,Bueno Brandão,-22.4408,-46.3508,92.12,18,63,8.86,BR,1632236029
146,San Patricio,28.017,-97.5169,90.88,64,0,8.21,US,1632236030
147,Padang,-0.9492,100.3543,77.85,86,97,4.05,ID,1632236030
148,Iqaluit,63.7506,-68.5145,33.53,86,90,12.66,CA,1632236030
149,Coquimbo,-29.9533,-71.3436,55.13,87,90,8.05,CL,1632236031
150,Sikasso,10.9167,-7.0,91.2,49,41,3.11,ML,1632236031
151,Saint-Augustin,51.226,-58.6502,67.75,52,38,16.84,CA,1632236032
152,Severo-Kuril'sk,50.6789,156.125,48.61,86,51,15.59,RU,1632236032
153,Provideniya,64.3833,-173.3,33.55,89,100,12.26,RU,1632236032
154,Yumen,40.2833,97.2,68.95,21,98,8.23,CN,1632236033
155,Mauá,-23.6678,-46.4614,91.2,39,25,12.53,BR,1632235793
156,Dossor,47.5272,52.9811,66.88,33,85,12.48,KZ,1632236033
157,Marrakesh,31.6315,-8.0083,84.27,39,0,6.91,MA,1632235775
158,Saint-Pierre,-21.3393,55.4781,73.08,55,0,16.11,RE,1632236034
159,Petropavlovka,50.6114,105.3196,43.02,81,100,3.33,RU,1632236035
160,Porto Nacional,-10.7081,-48.4172,91.4,12,50,5.48,BR,1632235876
161,Tiksi,71.6872,128.8694,32.65,72,100,5.57,RU,1632236036
162,Kavaratti,10.5669,72.642,82.0,78,13,15.3,IN,1632236036
163,Ayan,56.45,138.1667,43.07,63,16,11.07,RU,1632236037
164,Dunedin,-45.8742,170.5036,48.79,61,8,5.99,NZ,1632236037
165,Susanville,40.4163,-120.653,54.55,32,0,2.01,US,1632236038
166,Bredy,52.4153,60.3411,46.87,44,100,3.38,RU,1632236038
167,Bajos de Haina,18.4154,-70.0332,87.73,71,40,5.75,DO,1632236039
168,Coyhaique,-45.5752,-72.0662,40.95,81,90,2.3,CL,1632236039
169,Bayir,37.2687,28.2167,81.12,32,91,12.3,TR,1632236040
170,Novozybkov,52.5396,31.9275,46.13,96,100,11.83,RU,1632236041
171,Gbarnga,6.9956,-9.4722,87.51,57,66,2.06,LR,1632236041
172,Waterloo,43.4668,-80.5164,69.64,94,90,14.97,CA,1632236042
173,Pargas,60.3067,22.301,51.37,63,98,5.84,FI,1632236042
174,Anloga,5.7947,0.8973,88.02,78,52,17.54,GH,1632236043
175,Klaksvík,62.2266,-6.589,54.52,92,100,39.84,FO,1632236043
176,Touros,-5.1989,-35.4608,90.5,55,62,16.06,BR,1632236043
177,Rinteln,52.186,9.0792,63.23,56,75,5.01,DE,1632236044
178,Mehamn,71.0357,27.8492,44.51,63,7,22.24,NO,1632236044
179,Cartagena,10.3997,-75.5144,83.82,84,75,3.44,CO,1632235865
180,Vetluga,57.8557,45.781,45.14,60,100,9.37,RU,1632236045
181,Solnechnyy,50.7214,136.6319,45.3,96,89,4.09,RU,1632236045
182,Guerrero,17.6667,-100.0,72.57,80,91,2.53,MX,1632236046
183,Margherita,27.2833,95.6833,75.22,83,51,3.56,IN,1632236046
184,College,64.8569,-147.8028,31.59,76,90,2.3,US,1632236047
185,Esperance,-33.8667,121.9,51.64,41,0,15.19,AU,1632236047
186,Novomikhaylovskiy,44.2581,38.8578,64.85,91,98,7.52,RU,1632236048
187,Edd,13.9297,41.6925,91.94,61,32,6.35,ER,1632236048
188,Nānākuli,21.3906,-158.1547,77.11,73,75,3.44,US,1632236050
189,Inverbervie,56.8446,-2.28,70.75,66,100,15.12,GB,1632236050
190,Sānchor,24.7553,71.7722,84.25,70,19,9.89,IN,1632236051
191,Vardø,70.3705,31.1107,42.55,65,9,25.72,NO,1632236051
192,Kholodnyy,62.7167,147.95,27.46,90,65,3.67,RU,1632236052
193,Port Macquarie,-31.4333,152.9167,49.96,76,81,17.92,AU,1632236052
194,Chokurdakh,70.6333,147.9167,29.82,62,100,7.43,RU,1632236053
195,Port Hedland,-20.3167,118.5667,89.65,12,99,14.97,AU,1632236053
196,Chifeng,42.2683,118.9636,53.82,80,100,5.7,CN,1632236054
197,Pevek,69.7008,170.3133,26.83,87,100,4.68,RU,1632236054
198,Capreol,46.706,-80.9225,66.9,96,90,5.99,CA,1632236054
199,Anadyr,64.75,177.4833,34.3,93,75,6.71,RU,1632236055
200,Hamilton,39.1834,-84.5333,70.12,96,97,1.99,US,1632236055
201,Alofi,-19.0595,-169.9187,73.29,94,21,3.44,NU,1632236056
202,Córdoba,-31.4135,-64.1811,58.42,73,75,1.99,AR,1632236056
203,Kenai,60.5544,-151.2583,42.15,47,20,10.36,US,1632236056
204,Pāsighāt,28.0667,95.3333,75.96,93,6,3.89,IN,1632236057
205,Kalmunai,7.4167,81.8167,84.06,73,56,2.62,LK,1632236057
206,Lao Cai,22.4833,103.95,75.81,89,12,1.63,VN,1632236058
207,Narsaq,60.9167,-46.05,39.02,35,99,3.38,GL,1632236058
208,Aitape,-3.1374,142.3475,78.58,87,100,5.08,PG,1632236059
209,San Cristobal,7.7669,-72.225,69.98,54,94,6.62,VE,1632236059
210,Isakly,54.1333,51.5333,48.27,55,100,11.32,RU,1632236060
211,Shingū,33.7333,135.9833,78.91,93,85,5.23,JP,1632236060
212,Almaznyy,48.0448,40.045,59.14,59,69,7.65,RU,1632236060
213,Tuktoyaktuk,69.4541,-133.0374,37.4,60,75,17.27,CA,1632236061
214,Kizner,56.2749,51.508,42.57,66,97,5.75,RU,1632236061
215,Piaçabuçu,-10.4056,-36.4344,82.54,60,55,9.73,BR,1632236062
216,Greymouth,-42.4667,171.2,48.63,89,100,4.97,NZ,1632236062
217,At-Bashi,41.1702,75.8106,53.92,31,0,4.41,KG,1632236062
218,Guácimo,10.2104,-83.6807,91.0,59,39,3.56,CR,1632236063
219,Te Anau,-45.4167,167.7167,38.12,94,64,0.47,NZ,1632235808
220,Isangel,-19.55,169.2667,71.02,79,21,4.36,VU,1632236063
221,Tricase,39.9304,18.3553,79.95,53,0,11.5,IT,1632236064
222,Shimoda,34.6667,138.95,72.79,81,69,8.55,JP,1632236064
223,Oil City,41.4339,-79.7064,70.74,77,20,3.0,US,1632236065
224,Sanguem,15.2333,74.1667,75.81,95,100,2.53,IN,1632236065
225,Bathsheba,13.2167,-59.5167,88.41,70,40,16.11,BB,1632236066
226,Chapais,49.7834,-74.8492,65.98,68,100,15.3,CA,1632236066
227,Shirwal,18.1333,73.9833,72.64,91,85,6.93,IN,1632236067
228,Nanortalik,60.1432,-45.2371,37.67,68,94,20.71,GL,1632236067
229,Ribeira Brava,32.65,-17.0667,77.72,79,79,0.87,PT,1632236068
230,Isla Mujeres,21.2311,-86.731,83.91,73,46,8.99,MX,1632236068
231,Vila Velha,-20.3297,-40.2925,89.55,48,0,9.22,BR,1632236068
232,Beni,0.5,29.4667,67.44,95,97,1.3,CD,1632236069
233,Mackenzie,55.2999,-123.1698,48.42,93,90,16.11,CA,1632236069
234,Bariloche,-41.1456,-71.3082,53.35,35,0,4.61,AR,1632236070
235,Saint-Louis,16.3333,-15.0,105.6,16,9,10.54,SN,1632236070
236,Batagay-Alyta,67.8006,130.4114,30.42,88,100,2.93,RU,1632236070
237,La Paz,-16.5,-68.15,49.98,66,75,9.22,BO,1632236071
238,Umluj,25.0213,37.2685,88.03,63,7,6.29,SA,1632236071
239,Hilo,19.7297,-155.09,72.81,85,77,2.73,US,1632235992
240,Kralendijk,12.15,-68.2667,87.78,66,40,14.97,BQ,1632236072
241,Aswān,24.0934,32.907,105.1,12,0,9.22,EG,1632236055
242,São Filipe,14.8961,-24.4956,81.45,76,48,8.39,CV,1632236073
243,Cidreira,-30.1811,-50.2056,63.73,72,100,18.28,BR,1632236073
244,Gillette,44.2911,-105.5022,51.24,63,0,10.58,US,1632236073
245,Hay River,60.8156,-115.7999,44.58,93,75,6.91,CA,1632236074
246,Esim,4.8699,-2.2405,80.69,77,34,10.2,GH,1632236074
247,Zabul Province,32.25,67.25,72.54,12,0,9.44,AF,1632236075
248,Talnakh,69.4865,88.3972,30.52,88,17,2.82,RU,1632236075
249,Dwārka,22.2394,68.9678,82.74,79,97,17.27,IN,1632236075
250,Lodja,-3.4833,23.4333,89.98,38,97,2.48,CD,1632236076
251,Mayumba,-3.432,10.6554,76.96,80,100,7.7,GA,1632236076
252,Dondo,-19.6094,34.7431,75.38,60,0,12.5,MZ,1632236077
253,Hofn,64.2539,-15.2082,48.85,84,100,53.6,IS,1632236077
254,Kungurtug,50.5994,97.5228,36.1,72,16,2.1,RU,1632236077
255,Sept-Îles,50.2001,-66.3821,63.05,76,75,1.01,CA,1632235922
256,Ancud,-41.8697,-73.8203,51.33,64,0,0.96,CL,1632236078
257,Kruisfontein,-34.0033,24.7314,60.89,58,78,9.24,ZA,1632236078
258,Sant Julià de Loria,42.4625,1.4825,60.71,80,100,3.15,AD,1632236079
259,Atasū,48.6814,71.6433,43.63,45,15,14.45,KZ,1632236079
260,Nome,64.5011,-165.4064,29.21,77,100,4.43,US,1632236080
261,Mindelo,16.8901,-24.9804,85.55,62,20,23.02,CV,1632236080
262,Armizonskoye,55.9461,67.6736,34.59,79,67,4.16,RU,1632236080
263,Khovd,48.0056,91.6419,51.42,19,97,10.31,MN,1632235830
264,Nuuk,64.1835,-51.7216,34.36,58,100,3.36,GL,1632236064
265,Grand Gaube,-20.0064,57.6608,72.0,64,11,10.0,MU,1632236081
266,Arlit,18.7369,7.3853,104.25,7,1,4.5,NE,1632236082
267,Namatanai,-3.6667,152.4333,78.19,84,100,3.94,PG,1632236082
268,Honningsvåg,70.9821,25.9704,45.52,67,60,31.97,NO,1632235864
269,Mount Gambier,-37.8333,140.7667,49.91,93,90,8.05,AU,1632236083
270,Dikson,73.5069,80.5464,34.05,76,90,5.39,RU,1632236083
271,Barrow,71.2906,-156.7887,33.82,75,90,25.32,US,1632235812
272,Hunchun,42.8675,130.3581,64.18,98,65,0.56,CN,1632236084
273,Caravelas,-17.7125,-39.2481,86.14,52,4,12.21,BR,1632236084
274,Port Hardy,50.6996,-127.4199,55.58,88,75,13.8,CA,1632236085
275,Pisco,-13.7,-76.2167,64.45,72,0,9.22,PE,1632236085
276,Pforzheim,48.8833,8.7,63.72,54,43,5.37,DE,1632236086
277,Alice Springs,-23.7,133.8833,49.55,40,18,6.91,AU,1632236086
278,Cabo San Lucas,22.8909,-109.9124,82.51,84,96,5.99,MX,1632235978
279,Katsuura,35.1333,140.3,73.51,89,96,4.34,JP,1632236087
280,Coari,-4.085,-63.1414,93.2,46,82,2.37,BR,1632236087
281,Dauphin,51.1494,-100.0502,50.14,62,1,8.05,CA,1632235842
282,Oktyabr'skiy,54.4815,53.471,49.51,62,99,4.92,RU,1632236088
283,Goderich,43.7501,-81.7165,75.9,78,63,18.41,CA,1632236088
284,Clyde River,70.4692,-68.5914,30.43,86,75,8.05,CA,1632236088
285,Bundaberg,-24.85,152.35,57.49,33,0,8.01,AU,1632236089
286,Chiradzulu,-15.6746,35.1407,81.59,19,3,6.87,MW,1632236089
287,Ballina,-28.8667,153.5667,50.77,55,40,11.5,AU,1632236090
288,Souillac,-20.5167,57.5167,71.98,64,40,6.91,MU,1632236090
289,Harper,4.375,-7.7169,79.99,80,46,9.62,LR,1632236090
290,Hermanus,-34.4187,19.2345,65.8,58,63,14.41,ZA,1632236053
291,Auki,-8.7676,160.7034,76.35,90,78,2.73,SB,1632236091
292,Soe,-9.8607,124.284,65.46,90,84,4.07,ID,1632236091
293,Derzhavīnsk,51.1,66.3167,44.37,50,69,8.25,KZ,1632236092
294,Saint Thomas,13.1833,-59.5833,85.32,70,40,16.11,BB,1632236092
295,Beloha,-25.1667,45.05,72.79,51,13,10.56,MG,1632236093
296,Ambon City,-3.6954,128.1814,77.14,94,40,3.44,ID,1632236093
297,Bārmer,25.75,71.3833,92.17,46,29,9.24,IN,1632236094
298,Atar,20.5169,-13.0499,102.85,14,5,13.49,MR,1632236094
299,Manokwari,-0.8667,134.0833,77.5,81,57,3.89,ID,1632236095
300,Nadym,65.5333,72.5167,36.1,81,100,13.33,RU,1632236095
301,Belaya Gora,68.5333,146.4167,30.96,60,100,3.49,RU,1632236095
302,Khor,47.8861,134.9464,53.22,98,100,8.3,RU,1632236096
303,Grindavik,63.8424,-22.4338,51.75,93,90,49.48,IS,1632236096
304,Lagoa,39.05,-27.9833,70.56,77,30,18.23,PT,1632236097
305,Sioux Lookout,50.1001,-91.917,50.38,87,75,10.36,CA,1632236097
306,Loreto,22.2667,-101.9667,66.33,66,94,6.29,MX,1632236097
307,Panjāb,34.388,67.0233,58.06,17,0,5.17,AF,1632236098
308,Bilma,18.6853,12.9164,101.82,7,4,5.3,NE,1632236098
309,Kaitangata,-46.2817,169.8464,39.79,89,11,7.02,NZ,1632236099
310,Sena Madureira,-9.0656,-68.6569,95.68,37,51,2.86,BR,1632236099
311,Dabakala,8.3667,-4.4333,86.41,63,93,3.51,CI,1632236100
312,Ruteng,-8.6136,120.4721,61.74,93,99,2.57,ID,1632236100
313,Howard Springs,-12.497,131.047,78.71,70,38,2.77,AU,1632236100
314,Plettenberg Bay,-34.0527,23.3716,57.97,64,71,7.07,ZA,1632236101
315,Comodoro Rivadavia,-45.8667,-67.5,64.26,34,0,10.36,AR,1632235918
316,Husavik,66.0449,-17.3389,39.11,95,100,12.19,IS,1632236101
317,Norman Wells,65.282,-126.8329,44.64,76,90,5.75,CA,1632236102
318,Port-Gentil,-0.7193,8.7815,84.16,65,75,17.27,GA,1632236102
319,Mezen',65.8522,44.24,39.51,77,81,3.62,RU,1632236104
320,Huanan,46.2167,130.5167,54.79,96,100,8.05,CN,1632236105
321,Lorengau,-2.0226,147.2712,80.65,79,99,5.57,PG,1632236106
322,Barabai,-2.5833,115.3833,73.15,99,100,1.14,ID,1632236106
323,San Quintín,30.4833,-115.95,73.08,69,0,5.12,MX,1632236106
324,Mayya,61.7333,130.2811,29.52,87,5,4.97,RU,1632236107
325,Fereydūnkenār,36.6864,52.5225,75.51,77,13,2.68,IR,1632236107
326,Richland,40.7834,-82.5499,69.73,93,90,14.97,US,1632236108
327,The Valley,18.217,-63.0578,87.1,74,40,13.8,AI,1632236108
328,Zigong,29.3416,104.7769,78.06,75,37,3.71,CN,1632235867
329,Palmer,42.1584,-72.3287,68.52,64,40,1.99,US,1632236075
330,Tsurugi-asahimachi,36.45,136.6333,71.42,75,18,4.85,JP,1632236109
331,Yangi Marg`ilon,40.4272,71.7189,75.92,27,0,2.3,UZ,1632236109
332,Graaff-Reinet,-32.2522,24.5308,62.92,36,95,9.37,ZA,1632236110
333,Cayenne,4.9333,-52.3333,89.64,73,75,3.0,GF,1632236110
334,Mandalī,33.7499,45.5541,93.34,13,0,11.83,IQ,1632236111
335,Camapuã,-19.5314,-54.0439,104.22,9,7,6.6,BR,1632236111
336,Tazovsky,67.4667,78.7,34.2,75,100,14.85,RU,1632236111
337,Bonnyville,54.2668,-110.735,42.12,52,100,8.3,CA,1632236112
338,Temirtau,50.0544,72.9483,41.25,60,61,7.47,KZ,1632236112
339,Eureka,40.8021,-124.1637,62.64,49,0,3.53,US,1632236113
340,Hervey Bay,-25.2986,152.8535,57.31,43,0,19.33,AU,1632236113
341,Flin Flon,54.7682,-101.865,42.64,100,20,0.0,CA,1632236114
342,Kahului,20.8947,-156.47,71.96,96,92,12.28,US,1632236114
343,Pangody,65.85,74.4859,34.95,82,100,11.99,RU,1632236114
344,Beloretsk,53.9631,58.3981,45.41,66,100,2.91,RU,1632236115
345,Marzuq,14.4,46.4667,83.25,42,90,14.23,YE,1632236115
346,Binga,-17.6203,27.3414,86.76,21,1,8.16,ZW,1632236116
347,Galesong,-5.3166,119.3661,78.82,67,100,3.38,ID,1632236116
348,Torbay,47.6666,-52.7314,60.28,51,40,10.36,CA,1632236051
349,Bambous Virieux,-20.3428,57.7575,71.85,64,40,6.91,MU,1632236109
350,Wanning,18.8003,110.3967,80.55,86,53,3.94,CN,1632236117
351,Guerrero Negro,27.9769,-114.0611,74.01,63,6,3.51,MX,1632236117
352,Yulara,-25.2406,130.9889,57.04,28,99,9.22,AU,1632236118
353,Codrington,-38.2667,141.9667,51.55,90,95,12.64,AU,1632236118
354,Lilongwe,-13.9669,33.7873,82.6,28,0,11.5,MW,1632236119
355,Birjand,32.8663,59.2211,82.87,9,0,11.5,IR,1632236119
356,Renukoot,24.2,83.0333,77.61,81,2,5.86,IN,1632236120
357,Nioro,13.35,-15.75,91.83,57,98,5.79,GM,1632236120
358,Elk City,35.412,-99.4043,64.62,48,1,20.71,US,1632236121
